agent,sample_idx,wall_time,x,y
husky_2,189,1777042466.836420023,-313.435000,-46.432000
husky_2,190,1777042468.847736294,-313.595000,-46.255000
husky_2,191,1777042471.009052116,-314.117000,-45.677000
husky_2,192,1777042472.807193367,-314.613000,-45.129000
husky_2,193,1777042474.846032901,-314.700000,-45.032000
husky_2,194,1777042476.903096645,-314.711000,-45.004000
husky_2,195,1777042478.920581948,-314.707000,-45.003000
husky_2,196,1777042481.060327376,-314.682000,-44.979000
husky_2,197,1777042483.176343219,-314.667000,-44.955000
husky_2,198,1777042485.224040539,-314.581000,-44.808000
husky_2,199,1777042487.306024000,-314.485000,-44.574000
husky_2,200,1777042489.309827350,-314.483000,-44.571000
husky_2,201,1777042491.418579444,-314.482000,-44.539000
husky_2,202,1777042493.523476318,-314.463000,-44.523000
husky_2,203,1777042495.656584014,-314.445000,-44.487000
husky_2,204,1777042497.610715337,-314.469000,-44.475000
husky_2,205,1777042499.606174178,-314.507000,-44.472000
husky_2,206,1777042502.144329169,-314.257000,-44.355000
husky_2,207,1777042503.809206544,-314.250000,-44.352000
husky_2,208,1777042505.944346840,-314.247000,-44.347000
husky_2,209,1777042508.019688459,-314.456000,-44.332000
husky_2,210,1777042509.993161840,-314.754000,-44.314000
husky_2,211,1777042512.311248843,-314.583000,-44.336000
husky_2,212,1777042514.109299316,-314.582000,-44.332000
husky_2,213,1777042516.198394509,-314.485000,-44.277000
husky_2,214,1777042518.371770604,-314.306000,-44.199000
husky_2,215,1777042520.207185693,-314.306000,-44.199000
husky_2,216,1777042522.541359220,-314.306000,-44.199000
husky_2,217,1777042524.317603647,-314.316000,-44.193000
husky_2,218,1777042526.565338857,-314.344000,-44.219000
husky_2,219,1777042528.507169372,-314.342000,-44.216000
husky_2,220,1777042530.522224596,-314.357000,-44.223000
husky_2,221,1777042532.546215558,-314.368000,-44.222000
husky_2,222,1777042534.598243153,-314.386000,-44.206000
husky_2,223,1777042536.606425225,-314.411000,-44.191000
husky_2,224,1777042538.649801492,-314.442000,-44.187000
husky_2,225,1777042540.720167154,-314.456000,-44.170000
husky_2,226,1777042542.857640984,-314.491000,-44.195000
husky_2,227,1777042544.961674181,-314.489000,-44.191000
husky_2,228,1777042547.079742569,-314.494000,-44.186000
husky_2,229,1777042548.845016850,-314.498000,-44.172000
husky_2,230,1777042551.002142015,-314.533000,-44.165000
husky_2,231,1777042553.097573447,-314.536000,-44.161000
husky_2,232,1777042555.107702747,-314.560000,-44.138000
husky_2,233,1777042557.364591766,-314.434000,-44.292000
husky_2,234,1777042559.205786956,-314.369000,-44.368000
husky_2,235,1777042561.306156406,-314.365000,-44.370000
husky_2,236,1777042563.470865218,-314.355000,-44.368000
husky_2,237,1777042565.635951316,-314.341000,-44.327000
husky_2,238,1777042567.506354514,-314.324000,-44.231000
husky_2,239,1777042569.667322265,-314.288000,-43.997000
husky_2,240,1777042571.606311215,-314.298000,-43.797000
husky_2,241,1777042573.606634832,-314.308000,-43.743000
husky_2,242,1777042575.654294818,-314.339000,-43.515000
husky_2,243,1777042577.651037250,-314.408000,-43.297000
husky_2,244,1777042579.889528501,-314.413000,-43.297000
husky_2,245,1777042581.706967428,-314.409000,-43.220000
husky_2,246,1777042583.806919479,-314.403000,-43.060000
husky_2,247,1777042585.874142806,-314.461000,-42.830000
husky_2,248,1777042588.155833450,-314.610000,-42.594000
husky_2,249,1777042589.905673379,-314.428000,-42.750000
husky_2,250,1777042592.001593254,-314.431000,-42.748000
husky_2,251,1777042594.187340409,-314.739000,-42.489000
husky_2,252,1777042596.107039843,-314.943000,-42.362000
husky_2,253,1777042598.340125039,-315.055000,-42.316000
husky_2,254,1777042600.265044938,-315.127000,-42.286000
husky_2,255,1777042602.438704229,-315.256000,-42.229000
husky_2,256,1777042604.701427390,-315.334000,-42.215000
husky_2,257,1777042606.507138174,-315.361000,-42.212000
husky_2,258,1777042608.651442379,-315.376000,-42.195000
